,text
591,the kinetics of the phinduced dissociation of the x mol wt hemoglobin from lumbricus terrestris the earthworm have been studied in a lightscattering stoppedflow apparatus the ligand dependent dissociation data were fit well by a simple sequential model the data for co and oxyhemoglobin are consistent with hb leads to hb leads to hb methemoglobin at ph appears to be hexameric and the dissociation is consistent with the model hb leads to hb in a sequential decay scheme for which lightscattering changes are monitored the relative amounts of rapid and slow phase are determined by the rate constants as well as the molecular weights of intermediate species assignment of the hexameric intermediate is supported by an investigation of the sensitivity of the theoretical kinetic curves to the molecular weights of the intermediates this assignment is further supported by the following the same model will fit the data for oxy and cohemoglobin at all three temperatures a fold variation in rate constants evidence from electron microscopy shows hexameric forms and methemoglobin is apparently SD as a hexamer at ph when co replaces o as the ligand the dissociation rate increases by a factor of four the met is about times faster than the initial oxyhemoglobin dissociation rate but perhaps more relevant for comparing dissociation of the hexamer the met rate was respectively times and times faster than that for the assumed hexameric forms of co and oxyhemoglobin the E(a) for the dodecamer to hexamer dissociation and for the dissociation of the hexamer to smaller forms were about kcalmol for oxy co and methemoglobin
592,although a sulfatereducing pathway in escherichia coli involving free sulfite and sulfide has been suggested it is shown that as in chlorella a pathway involving bound intermediates is also present e coli extracts contained a ST that transferred the sulfonyl group from a nucleosidephosphosulfate to an acceptor to form an organic thiosulfate this enzyme was specific for adenosine phosphate phosphosulfate did not utilize adenine phosphosulfate and transferred to a carrier molecule that was identical with thioredoxin in molecular weight and CAA composition in the absence of thioredoxin only very low levels of the transfer of the sulfo group to thiols was observed as in chlorella thiosulfonate reductase activity that reduced glutathionesso to bound sulfide could be detected in e coli this enzyme used reduced nicotinamide adenine dinucleotide phosphate and mg but did not require the addition of ferredoxin or ferredoxin nicotinamide adenine dinucleotide phosphate reductase although in chlorella the thiosulfonate reductase appears to be a different enzyme from the sulfite reductase the e coli thiosulfonate reductase and sulfite reductase may be MICs of the same enzyme
593,an AC factor with phospholipase a activity has been isolated from vipera berus venom phospholipase activity was studied on PLT phospholipid and on brain cephalin the venom factor showed a potent AC activity mug impaired the clotting of ml of citrated recalcified plateletpoor plasma the anticoagulant inhibited clotting by antagonism to phospholipid the antagonism constant kan m demonstrated the high affinity of the inhibitor for phospholipid as with other phospholipases a the venom factor was thermoresistant but very sensitive to photooxidation both activities anticoagulant activity and phospholipase activity were not markedly dissociated by either denaturation or neutralization processes slightly different curves of photooxidative inactivation of both MICs suggested the presence on the molecule of two very close sites responsible for phospholipase and AC MICs the inhibitor effect on coagulation was independent of the hydrolysis process in fact lysoderivatives and fatty acids resulting from CR hydrolysis with the venom factor were as AS as the native phospholipids moreover phospholipase a from other viperidae venom which did not have anticoagulant activity produced similarly active lysoderivatives this showed that the cleavage of the betaacyl bond does not interfere with the activity of phospholipid a possible mechanism of clotting inhibition by the venom factor was proposed owing to its high affinity for phospholipid the inhibitor would complex phospholipid at its protein binding site impairing the normal arrangement of coagulation protein factors and consequently their activation the positive charges of the inhibitor pi could bind with phosphoryl or carboxyl groups of phospholipid making them unavailable for protein IB the complex formation involves a loss of dissociating capacity of the enzyme towards its substrate this required an additional interaction of the inhibitor with a coagulation protein factor the inhibitor could be removed from the complex by TPS antibodies permitting recovery of normal phospholipidprotein interaction the role of calcium in the complex has not yet been elucidated this venom factor affords a useful tool for investigating the phospholipidclotting protein interaction
594,the relationship of enzymatic activity to organelle development and organelle number during differentiation of the metanephric kidney in the mouse was approached from several experimental directions PSA analyses of marker enzymes for peroxisomes catalase and damino acid oxidase mitochondria cytochrome oxidase and lysosomes acid phosphatase were performed on kidneys at ages from days prenatal to AD these data were correlated with a morphometric analysis of populations of peroxisomes and mitochondria in differentiating cells of the proximal tubule postnatal development of the metanephric kidney was found to be accompanied by a rapid increase in both the specific activity of catalase and the number of peroxisomes per mu in the PT tubule during the first weeks of postnatal growth elaboration of the endoplasmic reticulum er was seen to parallel the increase in number of peroxisomes to which segments of er were often in close apposition extensive interactions between segments of er and peroxisomes were readily visible in mu sections viewed in the HV EM in contrast to peroxisomes neither mitochondria nor lysosomes followed a similar pattern of net organelle increase suggesting that a defined population density of mitochondria and lysosomes may exist in the PT tubule at birth prior to complete development of the kidney
595,the use of hydroxyapatite to absorb antibodybound steroid and thus separate free and antibodybound steroid during radioimmunoassay has been examined using three steroid antisera to testosterone to hydroxyprogesterone and to E(2) for all three antisera studied the separation was shown to be independent of length of time in contact with hydroxyapatite up to h temperature variations from degrees degrees and ph over the range the presence of protein affected the absorption of antibodybound steroid but this effect could be overcome by the addition of increasing amounts of hydroxyapatite further increase in the amount of hydroxyapatite added had no effect on the separation of free and bound steroid sodium phosphate buffers of molarity greater than m eluted antibodybount steroid from hydroxyapatite but trishc buffers up to molarities of m had no effect hydroxyapatite when used as a dry powder had the same effects as suspensions no effect on the crossreactivities of the antisera used could be demonstrated when hydroxyapatite was used and plasma testosterone assays on plasma samples using hydroxyapatite gave essentially the same results as assays on the plasma using a coatedtube assay hydroxyapatite can also be successfully pumped along small bore plastic tubing without settling and can thus be used in automated immunoassay systems
596,anaerobic reduction of the flavoprotein adrenodoxin reductase with nadph yields a spectrum with long wavelength absorbance nm and higher no epr signal is observed this spectrum is produced by titration of oxidized adr with nadph or of dithionitereduced adrenodoxin reductase with nadp both titrations yield a sharp endpoint at nadph added per flavin reduction with other reductants including dithionite excess nadh and catalytic nadp with an nadph generating system yields a typical fully reduced flavin spectrum without long wavelength absorbance the species formed on nadph reduction appears to be a twoelectroncontaining complex with a low KB between reduced adrenodoxin reductase and nadp designated arhnadp titration of dithionitereduced adr with nadph also produces a distinctive spectrum with a sharp endpoint at nadph added per reduced flavin indicating formation of a fourelectroncontaining complex between reduced Ad reductase and nadph titration of Ad reductase with nadh instead of nadph provides a curved titration plot rather than the sharp break seen with nadph and permits calculation of a potential for the ararh couple of v close to that of nadph v Ox adrenodoxin reductase binds nadp much more weakly kdiss x m than does reduced Ad reductase with a single binding site the preferential binding of nadp to reduced enzyme permits prediction of a more positive oxidationreduction potential of the flavoprotein in the presence of nadp a change of about v has been demonstrated by titration with safranine t from this alteration in potential a kdiss of x m for binding of nadp to reduced adrenodoxin reductase is calculated it is concluded that the strong IB of nadp to reduced adr provides the thermodynamic driving force for formation of a fully reduced flavoprotein form under conditions wherein incomplete reduction would otherwise be expected stopped flow studies demonstrate that reduction of adrenodoxin reductase by equimolar nadph to form the arhnadp complex is first order k s when a C1 excess of nadph is used a second apparently first order process is observed k s which is interpreted as replacement of nadph for nadp in the arhnadp complex comparison of these rate constants to catalytic flavin turnover numbers for reduction of various oxidants by nadph suggests an ordered sequential mechanism in which reduction of oxidant is accomplished by the arhnadp complex followed by dissociation of nadp the absolute dependence of nadphcytochrome c reduction on both adr and adrenodoxin is confirmed
597,the effects of a maternal diet b cyclicadenosinemonophosphate cyclic amp and c clofibrate on hepatic lipogenesis in fetal rats were studied the exp diets contained protein carbohydrate adequate vitamins and minerals in addition the fatcontaining diets were supplemented with either CO corn oil or cholesterol OA acid in the clofibrate FF studies wv of the ethyl ester was added to a stock ration or to fatfree diet lipogenesis was measured in liver slices incubated with cpyruvate cacetate or ho in addition activities of lipogenic enzymes were measured in cytosol fractions from liver homogenates the effecs of the experimental diets on liver composition were also examined lipogenic activity was higher in fetal than in maternal liver when corn oil was added to the maternal diet fatty FAS in FL did not decrease as it did in maternal liver maternal fasting decreased fetal fatty acid synthesys by when measured with c and less than when measured with ho although the addition of cholesterol to the maternal diet decreased cholesterol synthesis in maternal CL no such decrease was observed in FL changes in enzyme activities paralleled alterations in lipogenesis in maternal but not in fetal liver CO FF or fasting increased the rate of transfer of linoleate from the dam to the fetus however accumulation of linoleate in fetal liver did not correlate with a decreased rate of fatty FAS as it did in maternal liver maternal hepatic glycogen stores were depleted by fasting but glycogen levels in FL remained high under these conditions
598,the rumen flagellate sphaeromonas communis showed a significant increase in population density to h after the host sheep commenced feeding followed by a reduction in numbers to the prefeeding level T3 a further to h the lifehistory of the organism was shown to consist of a motile flagellate which germinated to produce a vegetative stage comprising a limited rhizoidal system on which up to three reproductive bodies were borne together with in vitro other spherical bodies of unknown function in vivo the reproductive bodies were stimulated to liberate flagellates by a component of the diet of the host the vegetative stage strongly resembled that of certain species of aquatic phycomycete fungi and the flagellates may therefore by zoospores flagellates liberated in vivo lost their motility within to h and developed into the reproductive vegetative phase producing a rapid decrease in numbers of flagellates conditions of maximum flagellate production ph degrees c presence of co absnece of oxygen approximated to those found in the rumen the organism was cultured in vitro in an undefined medium in the absnece of bacteria and other flagellates
599,a study was implemented to quantitate the hydrolase and transgalactosylase activities of betagalactosidase e coli with lactose as the ATP and to investigate various factors which affect these activities at low lactose concentrations the rate of galactose production was equal to the rate of glucose production the rate of galactose production relative to gl however dropped dramatically at lactose concentrations higher than m and production of trisaccharides and tetrasaccharides began galactoseglucose ratios of about and respectively were found for these two types of OS at least five different trissacharides were formed and their patterns of formation showed that they probably utilized both lactose and allolactose as galactosyl acceptors allolactose was produced in amounts proportional to gl at all lactose concentrations ratios of allolactoseglucose were about analyses of various data including a reaction analyzed at very early times showed that the L1 means of production of allolactose and the only means initially was the direct enzymatic transfer of galactose from the position to the position of the glucose moiety of lactose without prior release of glucose from the enzyme it was shown however that allolactose could also be formed in significant quantities by the transfer of Gal to the position of free gl and also by hydrolysis of preformed trisaccharide a mechanism which fits the initial velocity data was proposed in which the steps involving the formation of an enzymegallactoseglucose complex the formation and breakage of allolactose on the enzyme and the release of gl all seem to be of roughly equal magnitude and rate determining various factors affected the amounts of transgalactosylase and hydrolase MICs occurring at high ph values greater than the transgalactosylasehydrolyase activity ratio increased dramatically while it decreased at low ph values less than at mid ph values the ratio was essentially constant the absence of mg caused a large decrease in the transgalactosylasehydrolase activity ratio while the absence of all but traces of na or k had no effect the anomeric configuration of lactose altered the transgalactosylasehydrolase activity ratios alphalactose resulted in a decrease of allolactose production transgalactosylase activity relative to hydrolase MICs glucose production while betalactose had the opposite effect
600,five male subjects with essential hypertension received chlorthalidone at each of four DLs and mgday for eight week periods each preceded by an eight week placebo period dosage order was randomized and doubleblind during the last week of each AS and PL period an upright bicycle exercise study was carried out at three loads kpmmin for min each oxygen consumption at the maximal workload was of predicted at a heart rate of during placebo therapy increasing workloads were associated with a progressive increase in blood pressure heart rate and pressurerate index systolic pressure times heart rate with increasing doses of chlorthalidone up to mgday there was a progressive reduction in blood pressure and pressurerate index at mgday there were paradoxical increases in diastolic pressures heart rates and pressurerate indices above values observed at mgday with increasing doses of chlorthalidone there was a progressive increase in arterial blood co content and ph increasing workloads were associated with increased arterial blood lactate and decreased arterial blood lactate and decreased pHa the changes in lactate and ph were not different at the different dose levels the best antihypertensive effect in these exercising subjects was observed at a daily dose of mg of chlorthalidone the exercise response was useful in the determination of potentially adverse hemodynamic consequences of the larger dose of chlorthalidone
601,a study has been made on the changes in the enzymatic activity of ribonucleasearnasea exposed to highly acidic ph less than acqueous environment irreversible alterations of activity were observed when the protein was exposed to an acidic medium for a long period to h even prior to these changes in activity rnasea was found to form intermediates which had very nearly the same activity as the native protein the primary process in the acid denaturation of rnasea was observed to be deamidation of the protein leading to the formation of active chromotographically distinct derivatives the initial product of deamidation a monodeamidated derivative has been isolated by chromatography on amberlite xe this initial deamidation reaction proceeded with very high specificity the subsequent deamidation reaction is comparatively slower so that nearly of the native protein could be converted to this derivative before any subsequent deamidation took place this monodeamidated derivative has been designated rnaseaa the conversion of rnasea to rnaseaa was not accompanied by any changes in the primary structure other than the observed deamidation apart from the differences in chromatographic and electrophoretic mobilities rnaseaa was found to have very nearly the same activity and physicochemical properties as the native enzyme significance of this TPS and faster deamidation of rnasea in this denaturing medium as well as the biological significance of such deamidation reactions of proteins are discussed
602,to find out whether alkalitreated proteins posses nephrotoxic properties feeding studies were conducted with drastically treated soybean protein and casein and also with LAL lal the amino acid known to be formed in protein subjected to high ph at elevated temperature the feeding of synthesized lal to rats at dietary levels of ppm and above induced typical renal changes called nephrocytomegalia no such changes or any other indications of toxicity were observed however upon feeding much higher levels of lal up to ppm when provided as the proteinbound compound in alkalitreated casein or soybean protein when set free by complete acid hydrolysis lal induced considerable renal activity comparable to that of the synthetic compound these results indicate that alkali treatment of proteins does not induce nephrotoxic properties provided that the compound remains proteinbound some nephrotoxic activity was observed however with peptideboound lal in breakdown products molecular weight less than of alkalitreated casein but considerably less than that of the free compound lalanalyses in blood urine and feces of rats fed free or proteinbound lal indicated a positive correlation between intestinal absorption and nephrotoxic potential no renal changes were encountered upon FF diets with ppm synthetic lal to mice hamsters rabbits quail dogs or monkeys which suggest a species specificity of lalinduced renal changes in rats
603,the gammaglutamyltransferase ec gammaglutamyltranspeptidase gammagtp activity in hepatoma induced by methyldimethylaminoazobenzene medab was fold higher than that of NL and high activity was also found in bovine HCC carcinoma gammagtps from these malignant tissues responded more and showed broader specificity to gammaglutamyl group acceptors than those from normal tissue such as bovine rat and mouse liver and bovine kidney three species of gammagtp were isolated from bovine kidney by deaecellulose chromatography whereas only two species were isolated from bovine hepatocellular carcinoma the carcinoma lacked the least acidic enzyme species appropriate gammaglutamyl group acceptors stimulated moreacidic enzyme species more than lessacidic species in both tissues the fractions separated from the hepatoma were stimulated more than those of kidney by gammaglutamyl group acceptor the enzymes from normal tissues responded similarly to a gammaglutamyl group acceptor irrespective of the difference in their activity thus gammagtps of malignant tissues appear to be more versatile for amino acid transport both qualitatively and quantitatively in these properties the enzyme of mouse fetal CL which showed the highest activity in the last period of pregnancy resembled the enzymes of malignant rather than normal tissues the activity of hepatic gammagtp is not parallel with the rate of cell proliferation during normal development
604,the role of the adrenal cortex in the pathogenesis of hypertriglyceridaemia associated with the intake of oral contraceptive agents containing oestrogen has been investigated in rats BL ADX reduced the activity of hepatic enzymes regulating lipogenesis acetyl coa carboxylase FAS and decreased plasma triglyceride concentrations on the other hand the administration of high dosage corticosterone induced the activity of hepatic enzymes with consequent elevation in serum triglyceride C2 in animals with intact adrenals the administration of oestradiol a raised plasma triglyceride levels b enhanced the activity of hepatic enzymes and c increased the adrenal cortexbody weight ratio the effects a and b were not observed when both adrenals were removed prior to oestrogen therapy high dosage corticosterone replacement was found to be essential for the oestradiol to produce its effects on hepatic enzymes and TG levels the results suggest a regulatory role for the adrenal SC in the homeostasis of plasma TG and that the hypertriglyceridaemia induced by the oestrogen containing preparations might be secondary to alterations in adrenocortical function
605,the effects of penbutolol hoe d a new nonselective betareceptor blocking agent were studied in patients with moderate hypertension initially it was shown that mg given orally once or twice daily tended to lower blood pressure and PP rate both at rest and following submaximal work in prolonged trials months mgday were required to produce an acceptable antihypertensive effect penbutolol had no effect on the normal increase in plasma noradrenaline and adrenaline on standing nor did it alter basal urinary catecholamine excretion submaximal work caused no significant change in CA before treatment but there was a marked rise both in plasma noradrenaline and adrenaline during treatment with penbutolol in short term studies there was a fall in plasma renin by hours after oral administration of penbutolol mg which persisted for hours prolonged treatment with penbutolol mg twice daily inhibited renin production under basal conditions and following submaximal work as well as lowered basal urinary aldosterone excretion in one patient slight asthmatic symptoms appeared after treatment for months with penbutolol in other respects penbutolol was well tolerated
606,immune complexes formed between a homogeneous rabbit antibody to type iii pneumococcal polysaccharide and a series of OS of varying size derived from it were prepared and tested for their ability to fix guinea pig hemolytic complement antibody and either tetra hexa or octasaccharide formed only monomeric antibodyhapten complexes and did not show any complement IB a dodecasaccharide and a sugar residues oligomer formed dimer and trimer immune complexes these complexes were also unable to fix complement however as the size of the sugar oligomers was increased to about sugar residues per oligosaccharide molecule or more the resulting complexes exhibited substantial complement IB concomitant with the formation of antigenantibody aggregates higher than trimers on the other hand an independent study carried out with the same material suggested changes in the conformation of the fc moiety in the antibody molecule upon addition of oligosaccharide ligands as small as a residue unit since the resulting complexes hardly ehibited any complement binding ligandinduced conformational changes in the fc part of the antibody molecule appears to be an insufficient condition per se for triggering complement fixation
607,the selective use of different neuroleptics in the treatment of schizophrenia by some psychiatrist according to the greater need for a sedative antidelusional or activating effect is supported only by some uncontrolled clinical observations most extensive controlled studies done until now showed no significant differences among neuroloptics in their therapeutic efficacy the hypothesis that these drugs have specific and selective actions therfore cannot be accepted in the single patient it seems more rational to choose the right dosage schedule instead of the RA drug though the T0 of the metabolism of these drugs remains the most interesting approach to the problem of the individualization of the therapy the results of these studies have until now been disappointing eg plasma levels of chlorpromazine correlated weakly with clinical improvement in clinical practice an important element in the process of choosing is still the incidence of side effects and in fact at the moment the drug of choice can only be the drug best tolerated by the patient
608,chlorophyll ide formation from protochlorophyll ide that is normally inactive was demonstrated in etioplast CM isolated from maize and barlley plants the process being dependent on intermittent illumination and the addition of nadph the addition of nadph to the membranes was shown to result in the conversion of inactive protochlorophyll ide absorbing at about nm into a forms with lightabsorption maxima at about and nm both of which disappear when chlorophyll ide is formed on illumination the temperaturedependence of the activation process and its response to a variety of reagents were examined from these the conclusion is drawn that sh groups are involved in the activation but in the AS complex these are unavailable for reaction with sh reagents evidence is presented for the occurrence of glucose phosphate dehydrogenase activity within etioplasts and the suggestion is made that the oxidative PP pathway can provide the nadph required for chlorophyll biosynthesis during the early stages of greening
609,the MICs of citrate synthase nadlinked and nadplinked isocitrate dehydrogenase were measured in muscles from a C1 number of animals in order to provide some indication of the importance of the CAC in these muscles according to the differences in enzyme activities the muscles can be divided into three classes first in a number of both vertebrate and invertebrate muscles the activities of all three enzymes are very low it is suggested that either the muscles use energy at a very low rate or they rely largely on anaerobic glycolysis for higher rates of energy formation second most insect flight muscles contain high activities of citrate synthase and nadlinked isocitrate dehydrogenase but the MICs of the nadplinked enzyme are very low the high activities indicate the dependence of insect flight on energy generated via the CAC the flight muscles of the beetles investigated contain high MICs of both isocitrate dehydrogenases third other muscles of both vertebrates and invertebrates contain high activities of citrate synthase and nadpliniked isocitrate dehydrogenase many if not all of these muscles are capable of sustained periods of mechanical activity eg heart muscle pectoral muscles of some birds consequently to support this activity fuel must be supplied continually to the muscle via the circulatory system which in most animals also transports oxygen so that SE can be generated by CR oxidation of the fuel it is suggested that the low MICs of nadlinked isocitrate dehydrogenase in these muscles may be involved in oxidation of isocitrate in the cycle when the muscles are at rest a comparison of the maximal activities of the enzymes with the maximal flux through the cycle suggests that in insect flight muscle nadlinked isocitrate dehydrogenase catalyses a nonequilibrium reaction and citrate synthease catalyses a nearequilibrium reaction in other muscles the enzymeactivity data suggest that both citrate synthase and the isocitrate dehydrogenase reactions are nearequilibrium
610,nicotine perfused through the coronary circulation of the isolated atropinized cat HR elicits antidromic activity in the cardiac sympathetic nerves the pattern of discharge varies in a complex fashion with dose at low concentrations activity may last up to min whereas at high doses the antidromic response may last only a few seconds sympathetic transmitter is released into the perfusion fluid there is dissociation between the amount of transmitter that overflows from the heart and the total antidromic activity with increasing dose of nicotine with smaller doses of NIC the magnitude of the antidromic activity probably indicates the level of depolarization of the nerve terminal i.t. of greater doses of nicotine causes still greater transmitter release but not the generation of antidromic impulses due presumably to persistent depolarization below a critical level during the NIC infusion and immediately afterwards the antidromic response to acetylcholine and the effector responses associated with the adrenergic transmitter PR by acetylcholine and sympathetic nerve stimulation were blocked the rates of recovery of these responses were similar with a halftime of to min although the antidromic response to kcl was blocked during the nicotine infusion it recovered more rapidly within min the antidromic response to kcl tended to exceed control C2 it is proposed that nicotine causes a prolonged depolarization of the membrane of the adrenergic nerve terminal the site of action of nicotine the basis of its prolonged action and the interrelationship of this depolarization with transmitter release and intracellular uptake are discussed
611,the first committed step of aromatic amino acid biosynthesis in salmonella typhimurium was shown to be catalyzed by three isoenzymes of deoxydarabinoheptulosonic acid phosphate dahp synthase mutations in each of the genes specifying the isoenzymes were isolated and mapped arog the structural gene for the phenylalanineinhibitable isoenzyme was linked to gal and aroh the structural gene for the tryptophaninhibitable isoenzyme was linked to aroe arof the structural gene for the tyrosineinhibitable isoenzyme was linked to phea and tyra which specify the phenylalanine and tyrosinespecific branchpoint enzymes respectively the phenylalanineinhibitable isoenzyme was the predominant dahp synthase in wildtype cells and only the tryosineinhibitable isoenzyme was completely repressed as well as inhibited by low C2 of its allosteric effector the dahp synthase isoenzymes were separated by chromatography on diethylaminoethylcellulose with a phosphate gradient which contained enolpyruvate phosphate to protect the otherwise unstable phenylalanineinhibitable isoenzyme no crossinhibition of either the tyrosine or phenylalanineinhibitable isoenzyme was observed at inhibitor concentrations up to mm the tryptophaninhibitable isoenzyme was partially purified from extracts of a CS lacking the other two isoenzymes and shown to be inhibited about by mm tryptophan a preliminary study of interference by tryptophan in the periodatethiobarbiturate assay for dahp suggested a combined effect of tryptophan and erythrose phosphate or an aldehydic compound resulting from Kd of erythrose phosphate by periodate
612,the kinetics of the ndemethylation of benzphetamine EM meperidine and methadone have been studied in microsomes isolated from livers of the fetal stumptailed macaque macaca arctoides during the last third of gestation the apparent km for each substrate did not change during this time period values were similar to those from livers of adult african green monkeys the vmax for each substrate when expressed per mg of microsomal protein did not change during the last third of gestation ndemethylase activity vmax per g of liver increased during the last third of gestation as did the content of microsomal protein cytochrome p concentration and liver weight the amount of cytochrome p per g of CL was greater in whole homogenates of the left physiological lobe than in those of the right physiological lobe of fetal liver obtained near term no differences occurred in whole homogenates of the separate lobes of adult CL this observation suggests that a differential capacity for drug and possibly steroid metabolism may exist between the two physiological lobes of fetal CL
613,although cerebral angiography should be approached with caution in the diagnosis of inflammatory cerebrovascular disease there are some characteristic angiographic findings which may be helpful for classification and differential diagnosis the PT cerebral arteries are favourably affected by basal meningitis and thrombangiitis obliterans with resulting stenoses and occlusions whereas those inflammations originating from neighbouring skull structures mostly involve the intracavernous parts of the carotid i.a. the tuberculous and mycotic arteritis prefer the supraclinoid carotid siphon peripheral vascular changes are found in luetic endangiitis necrotizing and toxic angiitis and in collagenoses simultaneous involvement of the temporal arteries is of great diagnostic importance demonstrating the SVR character of the inflammatory process in hortons arteritis it can be a pathognomonic finding infectious endocarditis some mycoses and malaria may lead to embolic occlusion of CBF vessels mycotic aneurysms mostly have a broad base or a fusiform shape and do not prefer the localizations of congenital aneurysms angiographically abscesses tuberculomas and viral encephalitis may result in circumscribed hypervascularized areas the characteristic angiographic findings are exemplified and discussed on the basis of cases of inflammatory cerebrovascular disease tuberculosis pneumococcal and unspecific bacterial meningitis syphilis mycosis takayasusyndrome panarteritis nodosa temporal arteritis
614,when hrifampicin is incubated with rat liver microsomes or rat liver homogenate minor amounts are bound irreversibly to protein this effect does not depend on the presence of nad nadh nadp or nadph rifampicin is autoxidized at physiological ph the product of autoxidation rifampicinquinone if incubated with Al shows a much greater irreversible binding to the protein than the parent compound rifampicin hence it is concluded that rifampicin may bind irreversibly to proteins in a nonenzymic reaction after autoxidation to rifampicinquinone rifampicinquinone also binds irreversibly to rna and polyllysine if incubated with these compounds this suggests that free amino CG of protein or rna are involved in the binding h after dosage of hrifampicin mgkg to rats sd pmol are bound irreversibly to mg CL rna pmol to mg CL protein and pmol to mg protein in BB tissue microsomal nadphcytochromcinquinone to rifampicin the km of this reaction is m induction of the nadphcytochrome c reductase by pretreatment of rats with mgkg rifampicin over days results in a corresponding increase of increase of rifampicinquinone reduction these results suggest that microsomal nadphcytochrome c reductase prevents accumulation of higher amounts of possibly toxic rifampicinquinone by reduction to rifampicin
615,two highly purified cellulases ec iia and iib were obtained from the cellulase system of trichoderma viride both cellulases split cellopentaose retaining the betaconfiguration of the anomeric carbon atoms in the hydrolysis products at both ph and the km values of cellulases iia and iib for cellotetraose were different but their vmax values were similar and those for cellooligosaccharides increased in parallel with chain length both cellulases produced predominantly cellobiose and glucose from various cellulosic substrates as well as from higher cellooligosaccharides cellulase iia preferentially attacked the holoside linkage of rhonitrophenyl betadcellobioside whereas cellulase iib attacked mainly the aglycone linkage of this cellobioside both cellulases were found to catalyze the synthesis of cellotriose from rhonitrophenyl betadcellobioside by transfer of a glucosyl residue possibly to TC produced in the reaction mixture they were also found to catalyze the rapid synthesis of cellotetraose from cellobiose with accompanying formation of cellotriose and glucose which seemed to be produced by secondary random hydrolysis of the cellotetraose produced the capacity to synthesize cellotetraose from TC appeared to be greater with cellulase iib than with cellulase iia
616,lipoprotein lipase activity has been found in the milks from severals species where it is assumed to result from leakage from the mammary gland into milk the function of the enzyme in the gland is apparently to assist in the transfer of blood lipoprotein triacylglycerol fatty acids into milk triacylglycerols bovine skim milk is one of the richest sources of lipoprotein lipase and this enzyme has been purified extensively fold by AC the lipase has a molecular weight of about is inhibited by PS m sodium chloride apolipoprotein ci apolipoproteinserine and apolipoprotein ciii apolipoproteinalanine the enzyme is activated by apolipoprotein cii apolipoproteinglutamic acid serum and by heparin to which it also binds the lipase is highly specific for the primary esters of acylglycerols and exhibits a slight stereospecificity for the sn ester in preference to the snester bovine milk also has separate activity toward monoacylglycerols human milk contains a SS stimulated lipoprotein lipase with many of the characteristics of the enzyme in bovine milk as well as an enzyme stimulated by bile salts which resembles the sterol ester hydrolase of rat PJ the assay CF purification characteristics and substrate specificities of these enzyme are discussed
617,among the amino acids which can be solubilized to give a concentration of mm at near physiological ph histidine and proline caused a CR hemolysis of P0 calf but not of AD cow CRC within to minutes at degrees c while hydroxyproline valine and serine resulted in a partial lysis of calf cells threonine glutamine and glycine were ineffective in this communication emphasis has been focused on the mode of the lytic process by histidine which was found to be affected by several governing parameters including the ph temperature and the extracellular salts in the solution unlike human red cells suspended in isotonic histidine both calf and cow cells lost little na and k ions in the presence of mm histidine both calf and cow cells displayed an instantaneous uptake of histidine amounting to to mumolesml rbc followed by a slow influx rate of to mumolesml rbc x min the extent to which histidine entry was allowed by the cell was counterbalanced by cl efflux resulting in little NC in cell volume prior to hemolysis moreover histidineinduced hemolysis can be prevented by mm or lower pcmbs without a discernible effect on histidine influx suggesting a possible membrane lesion or damage at the outer surface of the cell hemolysis induced by histidine decreased substantially when a calf reached two months of age at which time the red cells containing the fetal hemoglobin are virtually depleted the results of hemoglobin electrophoresis obtained during this postnatal period revealed that those cells resistant to histidine hemolysis almost invariably contain the adult type hemoglobin suggesting a selective specific action of the amino acids on the fetal cells
618,the action of snake venom phospholipases a in IN human erythrocytes was investigated in detail the basis phospholipase from agkistrodon halys blomhifii was found to induce both hydrolysis of membrane phospholipids and total cell hemolysis under certain experimental conditions the hydrolytic action of the basic enzyme was found to consist of two sequential events a hydrolysis of of the total cell ph osphatidylcholine without any evident hemolysis and b complete hydrolysis of the remaining phosphatidylcholine followed closely by extensive phosphatidylethanolamine hydrolysis and finally with onset of hemolysis attack on the phosphatidylserine at ph and mm ca only stage a occurred however a slight elevation of the ph of incubation to ph andor inclusion of mm ca in the reaction mixture caused both events a and b to occur the addition of gl limited the action of the enzyme to stage a under any reaction conditions an investigation showed that enzymically induced hemolysis occurred under conditions where the intracellular atp levels were lowered data are presented which suggest that stage b is mediated by in influx of ca into the cell when the levels of atp are low interestingly the phosphllipase from naja naja venom pakistan yielded results similar to those observed with the basic enzyme from agkistrodon venom however the enzyme from crotalus adamanteus and the acidic enzyme also present in the agkistrodon venom produced only slight hydrolysis or hemolysis under any of the conditions studied other species of erythrocytes eg guinea pig monkey pig and rat were tested but only those from guinea pig behaved similarly to the human cells pig monkey and rat erythrocytes underwent very limited hydrolysis and hemolysis it is evident that the use of these phospholipases to probe the localization of phospholipds in ghosts must be approached with caution certain facets of this problem are discussed
