Authors,Title,Year,Link,Abstract,Document Type,Source,EID
"Butler A.J., Thomas M.K., Pintar K.D.M.","Systematic review of expert elicitation methods as a tool for source attribution of enteric illness",2015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929458265&doi=10.1089%2ffpd.2014.1844&partnerID=40&md5=9f704bf3a967527da409c6cc1776d1bf","Expert elicitation is a useful tool to explore sources of uncertainty and to answer questions where data are expensive or difficult to collect. It has been used across a variety of disciplines and represents an important method for estimating source attribution for enteric illness. A systematic review was undertaken to explore published expert elicitation studies, identify key considerations, and to make recommendations for designing an expert elicitation in the context of enteric illness source attribution. Fifty-nine studies were reviewed. Five key themes were identified: the expert panel including composition and recruitment; the pre-elicitation material, which clarifies the research question and provides training in uncertainty and probability; the choice of elicitation tool and method (e.g., questionnaires, surveys, and interviews); research design; and analysis of elicited data. Careful consideration of these themes is critical in designing and implementing an expert elicitation in order to reduce bias and produce the best possible results. While there are various epidemiological and microbiological methods available to explore source attribution of enteric illness, expert elicitation provides an opportunity to identify gaps in our understanding and where such studies are not feasible or available, represents the only possible method for synthesizing knowledge about transmission. © Mary Ann Liebert, Inc. 2015.",Review,Scopus,2-s2.0-84929458265
"Herweijer C., Waughray D.","Fourth Industrial Revolution for the Earth Harnessing Artificial Intelligence for the Earth [WWW Document]",2018,,[No abstract available],,Scopus,2-s2.0-85059974277
"Wegren S.K.","The “left behind”: Smallholders in contemporary Russian agriculture",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053757895&doi=10.1111%2fjoac.12279&partnerID=40&md5=53be4ce188e5a9273149925f4cd13eef","Smallholder production in Russia has been in decline for more than a decade. The likelihood is for continued marginalization. Smallholders confront four obstacles. First, path dependencies, which includes the fact that smallholders' production remains traditional and subsistence oriented. Second, institutions in the form of state policy restrict land and animals. Third, Russia's role in the third food regime means that smallholders are unable to help Russia's emergence as a global food superpower. Fourth, smallholders are being left behind in the ongoing technological revolution led by agroholdings. As technological advancement expands in scope, the gap between large farms and smallholders will widen. © 2018 John Wiley & Sons Ltd",Article,Scopus,2-s2.0-85053757895
"Neill D.B., Gorr W.L.","Detecting and preventing emerging epidemics of crime",2007,,[No abstract available],,Scopus,2-s2.0-84903523683
"Kwok R.","AI empowers conservation biology",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062419535&doi=10.1038%2fd41586-019-00746-1&partnerID=40&md5=d69cc814485fed6f55f9ce3678d7fc9f","Faced with mountains of image and audio data, researchers are turning to artificial intelligence to answer pressing ecological questions. [Figure not available: see fulltext.] © 2019, Nature.",Note,Scopus,2-s2.0-85062419535
"McWaters R., Blake M., Galaski R., Chubb C., Uykur D., Blickling A., Muench. T.","The New Physics of Financial Services: Understanding How Artificial Intelligence Is Transforming the Financial Ecosystem",2018,,[No abstract available],,Scopus,2-s2.0-85072186605
"Nerini F.F., Slob A., Engström R.E., Trutnevyte E.","A research and innovation agenda for zero-emission European cities",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063484199&doi=10.3390%2fsu11061692&partnerID=40&md5=9704be1af4987527030f948ea6a77c37","The Paris Agreement and SDG13 on Climate Action require a global drop in Green House Gases (GHG) emissions to stay within a ""well below 2 degrees"" climate change trajectory. Cities will play a key role in achieving this, being responsible for 60 to 80% of the global GHG emissions depending on the estimate. This paper describes how Research and Innovation (R & I) can play a key role in decarbonizing European cities, and the role that research and education institutions can play in that regard. The paper highlights critical R & I actions in cities based on three pillars: (1) innovative technology and integration, (2) governance innovation, and (3) social innovation. Further, the research needed to harmonize climate mitigation and adaptation in cities are investigated. © 2019 by the authors.",Article,Scopus,2-s2.0-85063484199
"Vinuesa R., Fdez. De Arévalo L., Luna M., Cachafeiro H.","Simulations and experiments of heat loss from a parabolic trough absorber tube over a range of pressures and gas compositions in the vacuum chamber",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962376549&doi=10.1063%2f1.4944975&partnerID=40&md5=e1f581a7dd487ef8b11dbe4940af2af6","A new simulation tool aimed at characterizing the thermal behavior of parabolic trough collectors over a wide range of pressures and gas mixtures in the vacuum chamber is presented in this study. The model is able to accurately predict overall efficiency and heat losses obtained in a number of experimental sources based on both on-sun and off-sun testing, with vacuum in the annulus and no hydrogen. Excellent agreement of the simulations with experiments including different gas compositions, especially with high hydrogen concentrations, is achieved through the use of molecular dynamics results for the determination of the accommodation coefficient of the mixture. Additional experiments were carried out to validate the accuracy of the model over a range of pressures between 10-4 and 130 mbar. The accurate modelling of rarefied gas dynamics presented here also leads to an excellent agreement between simulations and experiments over the whole pressure range. An accurate determination of the performance in such extreme conditions is critical for an adequate Operation &amp; Maintenance strategy, as well as the development of effective predictive and preventives plans. © 2016 AIP Publishing LLC.",Article,Scopus,2-s2.0-84962376549
"Cao Y., Li Y., Coleman S., Belatreche A., McGinnity T.M.","Detecting price manipulation in the financial market",2014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908130423&doi=10.1109%2fCIFEr.2014.6924057&partnerID=40&md5=73f7eb99a7502cf4c410df08c282dc87","Market abuse has attracted much attention from financial regulators around the world but it is difficult to fully prevent. One of the reasons is the lack of thoroughly studies of the market abuse strategies and the corresponding effective market abuse approaches. In this paper, the strategies of reported price manipulation cases are analysed as well as the related empirical studies. A transformation is then defined to convert the time-varying financial trading data into pseudo-stationary time series, where machine learning algorithms can be easily applied to the detection of the price manipulation. The evaluation experiments conducted on four stocks from NASDAQ show a promising improved performance for effectively detecting such manipulation cases. © 2014 IEEE.",Conference Paper,Scopus,2-s2.0-84908130423
"Petit M.","Por una crítica de la razón algorítmica. Estado de la cuestión sobre la inteligencia artificial, su influencia en la política y su regulación",2018,,[No abstract available],,Scopus,2-s2.0-85069887253
"Karnama A., Haghighi E.B., Vinuesa R.","Organic data centers: A sustainable solution for computing facilities",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075799718&doi=10.1016%2fj.rineng.2019.100063&partnerID=40&md5=b38cf66bb868683545f049ab58eaf4c9","In the present perspective article we provide an overview of on-going work in the literature and possible future development of organic data centers (ODC). These are defined as the combined operation of a data center and a greenhouse, and given their compatible thermal and operation requirements, ODCs have the potential to provide an excellent solution in terms of sustainability. In particular, we identify possible positive impacts of ODCs on at least 5 of the 17 United Nations (UN) Sustainable Development Goals (SDGs), including SDGs 2 and 13 on zero hunger and climate change, respectively. © 2019",Article,Scopus,2-s2.0-85075799718
"Gandhi N., Armstrong L.J., Nandawadekar M.","Application of data mining techniques for predicting rice crop yield in semi-arid climatic zone of India",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046950869&doi=10.1109%2fTIAR.2017.8273697&partnerID=40&md5=c0cadc54af2b03cbd2f1cace420df9e6","The process of developing knowledge from the use of large data sets as an input and extracting useful information as an output is referred to as data mining. This acquired knowledge can be further applied by domain experts for decision making. In present research data mining techniques were applied to the historical agricultural dataset of semi-arid climatic zone of India to extract knowledge for predicting rice crop yield of kharif season. Free and open source software WEKA (Waikato Environment for Knowledge Analysis) was used to apply data mining techniques for the present agricultural dataset. Sensitivity, specificity and accuracy were computed to validate the experimental results. F1 score was computed to measure the test's accuracy. MCC (Mathews Correlation Coefficient) and was used to measure the quality of classification. Mean absolute error (MAE), root mean squared error (RMSE), relative absolute error (RAE) and root relative squared error (RRSE) were also calculated. The study found that J48 and LADTree classifiers provided the best performance among the classifiers used for the semi-arid climatic zone of India data set. © 2017 IEEE.",Conference Paper,Scopus,2-s2.0-85046950869
"Dalenberg D.J.","Preventing discrimination in the automated targeting of job advertisements",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035761796&doi=10.1016%2fj.clsr.2017.11.009&partnerID=40&md5=d19999343054e1fde89447d752f62f71","On the background of the increasing amount of discriminatory challenges facing artificial intelligence applications, this paper examines the requirements that are needed to comply with European non-discrimination law to prevent discrimination in the automated online job advertising business. This paper explains under which circumstance the automated targeting of job advertisements can amount to direct or indirect discrimination. The paper concludes with technical recommendations to dismantle the dangers of automated job advertising. Various options like influencing the pre-processing of big data and altering the algorithmic models are evaluated. This paper also examines the possibilities of using techniques like data mining and machine learning to actively battle direct and indirect discrimination. The European non-discrimination directives 2000/43/EC, 2000/78/EC, and 2006/54/EC which prohibit direct and indirect discrimination in the field of employment on the grounds of race or ethnic origin, sex, sexual orientation, religious belief, age and disability are used as a legal framework. © 2018 David Dalenberg",Article,Scopus,2-s2.0-85035761796
"Fuso Nerini F.","Shore up support for climate action using SDGs correspondence",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046439513&doi=10.1038%2fd41586-018-05007-1&partnerID=40&md5=ac30fcf519e9719dd61113f3a3e5b87a",[No abstract available],Letter,Scopus,2-s2.0-85046439513
"Francescato D.","Globalization, artificial intelligence, social networks and political polarization: New challenges for community psychologists",2018,,[No abstract available],,Scopus,2-s2.0-85069527866
[No author name available],[No title available],2017,,[No abstract available],,Scopus,2-s2.0-85077971310
"Nagano A.","Economic growth and automation risks in developing countries due to the transition toward digital modernity",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051419533&doi=10.1145%2f3209415.3209442&partnerID=40&md5=df5535fbb0b007f9c04f7512441e2d47","This paper is aimed at making recommendations to establish a stewardship to embody the responsibilities and morality that will prevent the automation risks faced by Least Development Countries (LDCs) due to transition toward digital modernity. Recent studies reveal that law qualified individuals in developed countries will face the risks of jobs that are highly subject to automation. This indicates that corresponding risks will be seen in LDCs. The rise of digitalization may override developing country's opportunities to elevate itself from a low-income country to a middle or high-income country. In the aftermath of World War Ⅱ, western society tried to support LDCs in maintain the principles of a free world system and contribute to reducing poverty through market oriented development. Since the end of Cold War, defense of the free world has lost its significance but economy is getting more important political instrument. Advancement of automation technologies might aggravate opportunities for developing country's economic growth and international society needs the alternative principles. © 2018 Association for Computing Machinery.",Conference Paper,Scopus,2-s2.0-85051419533
"Nagler J., Van Den Hoven J., Helbing D.","An extension of asimov’s robotics laws",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064104152&doi=10.1007%2f978-3-319-90869-4_5&partnerID=40&md5=ab5eebaf38b5d9accc05535386111284","In a world, where Artificial Intelligence systems will decide about increasingly many issues, including life and death, how should autonomous systems faced with ethical dilemmas decide, and what is required from humans?. © Springer International Publishing AG, part of Springer Nature 2019.",Book Chapter,Scopus,2-s2.0-85064104152
[No author name available],[No title available],2016,,[No abstract available],,Scopus,2-s2.0-85078036487
"Bissio R.","Vector of hope, source of fear",2018,,[No abstract available],,Scopus,2-s2.0-85078026994
[No author name available],[No title available],2018,,[No abstract available],,Scopus,2-s2.0-85078008279
"Helbing D.","Preface",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064103610&doi=10.1007%2f978-3-319-90869-4&partnerID=40&md5=ef0c614a2b289d8d7bb1ef660c449856",[No abstract available],Editorial,Scopus,2-s2.0-85064103610
"Mohamadi A., Heidarizadi Z., Nourollahi H.","Assessing the desertification trend using neural network classification and object-oriented techniques",2016,,[No abstract available],,Scopus,2-s2.0-85078031269
"Dignum V.",[No title available],2019,,[No abstract available],,Scopus,2-s2.0-85078063623
[No author name available],[No title available],2018,,[No abstract available],,Scopus,2-s2.0-85077975981
[No author name available],"A/RES/70/1Transforming our world: the 2030 Agenda for Sustainable Development",2015,,[No abstract available],,Scopus,2-s2.0-85078027088
[No author name available],[No title available],2015,,[No abstract available],,Scopus,2-s2.0-85078070299
